,SiteID,timestamp,Device,instance,idDataAttribute,description,code,formattedValue,rawValue
57,22148,1635950835,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
58,22148,1608029838,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
59,23012,1635951390,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
60,23012,1635951390,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
61,23216,1635950537,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
62,23216,1635950537,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
63,24085,1635951382,VE.Bus System,261,40,VE.Bus state,S,Inverting,9
64,24085,1551722806,VE.Bus System,288,40,VE.Bus state,S,Inverting,9
65,24085,1551740210,VE.Bus System,289,40,VE.Bus state,S,Inverting,9
66,24085,1551768386,VE.Bus System,290,40,VE.Bus state,S,Inverting,9
67,24085,1551074813,VE.Bus System,291,40,VE.Bus state,S,Inverting,9
68,24085,1551075417,VE.Bus System,292,40,VE.Bus state,S,Inverting,9
69,24085,1551075877,VE.Bus System,293,40,VE.Bus state,S,Inverting,9
70,24085,1550522203,VE.Bus System,294,40,VE.Bus state,S,Inverting,9
71,24085,1549981705,VE.Bus System,295,40,VE.Bus state,S,Inverting,9
