,idSite,accessLevel,owner,is_admin,name,identifier,idUser,pvMax,timezone,phonenumber,notes,geofence,geofenceEnabled,realtimeUpdates,hasMains,hasGenerator,noDataAlarmTimeout,alarmMonitoring,invalidVRMAuthTokenUsedInLogRequest,syscreated,grafanaEnabled,shared,device_icon,datesubmited
514,99216,1,True,True,UN0130_SW_UBN ADENIJI ADELE,d0ff503997d5,19965,0,UTC,09045715949,,,False,True,1,1,,1,0,1615637028,0,False,battery,
515,79392,1,True,True,"UN0131_NW_Union Bank Sokoto Main, Sokoto",1cba8ce0b04f,19965,0,UTC,,,,False,True,0,0,,1,0,1606135219,0,False,battery,
516,90403,1,True,True,"UN0132_NW_Union Bank PZ Zaria, Kaduna",c4f31281debc,19965,0,UTC,,,,False,True,1,1,,1,0,1609007256,0,False,battery,
517,89425,1,True,True,"UN0134_SW_Union Bank Okokomaiko, Lagos",1cba8cf6ae37,19965,0,Africa/Lagos,09045531589,,,True,True,0,0,,1,0,1608128624,0,False,solar,
518,90724,1,True,True,"UN0135_NE_Union Bank Guyuk, Adamawa",d0ff505d1cd0,19965,0,UTC,+2348036448315,,,False,True,0,0,,1,0,1609498799,0,False,generator,
519,94117,1,True,True,"UN0136_NW_Union Bank Yahaya Madaki Road, Katsina",7c669d4de301,19965,0,UTC,,,,False,True,1,1,,1,0,1612285401,0,False,generator,
520,108660,1,True,True,UN0137_NC_Union Bank_Langtang,0479b7e7940a,19965,0,UTC,07064352366,,,False,True,0,0,,1,0,1621015759,0,False,solar,
521,99068,1,True,True,UN0138_SW_UNION BANK FADEYI LAGOS,04a316c7365d,19965,0,Africa/Lagos,08094902332,,,False,True,1,1,,1,0,1615551031,0,False,generator,
522,96393,1,True,True,UN0139_SW_Ijebu-Ode,507224b272f4,19965,0,Africa/Lagos,09010210226,,,True,True,0,0,,1,0,1613831543,0,False,solar,
523,47832,0,True,False,"WB0001_SW_Wema Bank Ikorodu, Lagos",9884e39652a5,19965,0,Africa/Lagos,09019726733,,,False,True,1,1,,1,0,1573658828,0,False,battery,
524,67643,1,True,True,"WB0002_SW_Wema Bank Oregun,Lagos",68c90bbbe232,19965,0,Africa/Lagos,08094902335,,,False,True,0,0,,1,0,1596471787,0,False,solar,
525,135719,1,True,True,WB0003_SW_WEMA BANK DUGBE,0cb2b7b96d7a,19965,0,Africa/Lagos,,,,True,True,0,0,,1,0,1635518120,0,False,generator,
526,136071,1,True,True,"WB004_SW_WEMA BANK ALABA, LAGOS",0cb2b7cc62f7,19965,0,Africa/Lagos,,,,True,True,1,1,,1,0,1635774806,0,False,solar,
